Primary fault,Affected delivery point,"Type of interruptions [short, long]",Annual energy not supplied [kWh/yr],Annual interrupted power [kW/yr],Annual interruption cost [NOK/yr],Annual interruption duration [min/yr],Annual number of interruptions [/yr],Annual number of partial interruptions [/yr],Average interruption duration [min/interruption]
 (K1),L1 (L1),short,8.333333333333334,500.00000000000006,9712.096064216668,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.12500000000000003
 (K1),L1 (L1),long,116.66666666666669,500.00000000000006,16142.371399033333,1.4000000000000001,0.10000000000000002,0.10000000000000002,1.7500000000000004
 (K1),L2 (L2),short,6.666666666666668,400.00000000000006,5859.597021392917,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.12500000000000003
 (K1),L2 (L2),long,53.33333333333334,400.00000000000006,9148.869867643334,0.8000000000000002,0.10000000000000002,0.10000000000000002,1.0000000000000002
 (K1),L3 (L3),short,5.000000000000001,300.0,1915.6239569714287,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.12500000000000003
 (K1),L3 (L3),long,70.0,300.0,3130.3537976000002,1.4000000000000001,0.10000000000000002,0.10000000000000002,1.7500000000000004
 (K1),L4 (L4),short,3.333333333333334,200.00000000000003,7570.546025897144,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.12500000000000003
 (K1),L4 (L4),long,46.66666666666668,200.00000000000003,8964.335623988572,1.4000000000000001,0.10000000000000002,0.10000000000000002,1.7500000000000004
 (K2),L1 (L1),short,4.166666666666667,250.00000000000003,4856.048032108334,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.06250000000000001
 (K2),L1 (L1),long,29.16666666666667,250.00000000000003,6339.957724758335,0.35000000000000003,0.05000000000000001,0.05000000000000001,0.4375000000000001
 (K2),L2 (L2),short,3.333333333333334,200.00000000000003,2929.7985106964584,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.06250000000000001
 (K2),L2 (L2),long,826.6666666666667,200.00000000000003,43869.26968775168,12.400000000000002,0.05000000000000001,0.05000000000000001,15.500000000000004
 (K2),L3 (L3),short,2.5000000000000004,150.0,957.8119784857143,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.06250000000000001
 (K2),L3 (L3),long,17.5,150.0,1238.1342494000003,0.35000000000000003,0.05000000000000001,0.05000000000000001,0.4375000000000001
 (K2),L4 (L4),short,1.666666666666667,100.00000000000001,3785.273012948572,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.06250000000000001
 (K2),L4 (L4),long,11.66666666666667,100.00000000000001,4106.916766354286,0.35000000000000003,0.05000000000000001,0.05000000000000001,0.4375000000000001
 (K3),L1 (L1),short,12.499999999999998,749.9999999999999,14568.144096324999,0.15,0.15,0.15,0.1875
 (K3),L1 (L1),long,474.99999999999994,749.9999999999999,42020.47341035,5.699999999999999,0.15,0.15,7.125
 (K3),L2 (L2),short,10.0,600.0,8789.395532089373,0.15,0.15,0.15,0.1875
 (K3),L2 (L2),long,80.0,600.0,13723.304801465,1.2,0.15,0.15,1.5
 (K3),L3 (L3),short,7.499999999999999,449.99999999999994,2873.4359354571425,0.15,0.15,0.15,0.1875
 (K3),L3 (L3),long,397.49999999999994,449.99999999999994,10161.814979228571,7.949999999999999,0.15,0.15,9.9375
 (K3),L4 (L4),short,5.0,300.0,11355.819038845713,0.15,0.15,0.15,0.1875
 (K3),L4 (L4),long,265.0,300.0,19718.556627394282,7.949999999999999,0.15,0.15,9.9375
 (K4),L1 (L1),short,8.333333333333334,500.00000000000006,9712.096064216668,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.12500000000000003
 (K4),L1 (L1),long,141.66666666666669,500.00000000000006,26843.740591683334,1.7000000000000002,0.10000000000000002,0.20000000000000004,2.1250000000000004
 (K4),L2 (L2),short,6.666666666666668,400.00000000000006,5859.597021392917,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.12500000000000003
 (K4),L2 (L2),long,53.33333333333334,400.00000000000006,9148.869867643334,0.8000000000000002,0.10000000000000002,0.10000000000000002,1.0000000000000002
 (K4),L3 (L3),short,5.000000000000001,300.0,1915.6239569714287,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.12500000000000003
 (K4),L3 (L3),long,190.00000000000003,300.0,5372.931964914288,3.8000000000000003,0.10000000000000002,0.10000000000000002,4.750000000000001
 (K4),L4 (L4),short,3.333333333333334,200.00000000000003,7570.546025897144,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.12500000000000003
 (K4),L4 (L4),long,943.3333333333335,200.00000000000003,27679.317437637146,28.300000000000004,0.10000000000000002,0.10000000000000002,35.37500000000001
